Address,lat,long
"Humboldt (Residence 49101) Plan, Anthology, Parker, CO 80134",40.7450055,40.7450055
"15438 Coopers Hawk Way, Parker, CO 80134",39.5648292,39.5648292
"12246 Blue Fir Ct, Parker, CO 80134",39.4935339,39.4935339
"Dillon Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"5241 Raintree Cir, Parker, CO 80134",39.445935,39.445935
"12560 Bradford Dr, Parker, CO 80134",39.5320889,39.5320889
"Avril Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"12863 Capital Creek St, Parker, CO 80134",39.4813559,39.4813559
"Silverthorne (Residence 39206) Plan, Anthology, Parker, CO 80134",39.6296191,39.6296191
"13620 Crane Ct, Parker, CO 80134",41.6032207,41.6032207
"13630 Crane Ct, Parker, CO 80134",41.6032207,41.6032207
"13640 Crane Ct, Parker, CO 80134",41.6032207,41.6032207
"13641 Crane Ct, Parker, CO 80134",41.6032207,41.6032207
"13631 Crane Ct, Parker, CO 80134",41.6032207,41.6032207
"13621 Crane Ct, Parker, CO 80134",41.6032207,41.6032207
"11400 Iron Ore Ct, Parker, CO 80134",39.5092721,39.5092721
"17699 Bluetrail Ave, Parker, CO 80134",39.5092717,39.5092717
"17691 Bluetrail Ave, Parker, CO 80134",39.5092717,39.5092717
"10647 Apishamore Ct, Parker, CO 80134",39.5210306,39.5210306
"Bierstadt (Residence 49205) Plan, Anthology, Parker, CO 80134",39.5827653,39.5827653
"17193 Opal Hill Dr, Parker, CO 80134",39.5315054,39.5315054
"6373 Ponderosa Way, Parker, CO 80134",39.4509108,39.4509108
"12950 S Molly Ct, Parker, CO 80134",39.4810395,39.4810395
"17353 Wilde Ave Unit 305, Parker, CO 80134",39.5494439,39.5494439
"6307 Saddle Bow Ave, Parker, CO 80134",39.4490599,39.4490599
"Pine (Residence 34204) Plan, Anthology, Parker, CO 80134",27.4461959,27.4461959
"20272 Terrace View Dr, Parker, CO 80134",39.4809935,39.4809935
"6327 Old Divide Trl, Parker, CO 80134",39.4411762,39.4411762
"10043 Concordia St, Parker, CO 80134",39.533965,39.533965
"5982 Shavano Pl, Parker, CO 80134",39.4492323,39.4492323
"12234 Foxtail Pine Ct Building 8, Parker, CO 80134",39.494159,39.494159
"12243 Coral Burst Ln, Parker, CO 80134",39.4947444,39.4947444
"5798 Hidden Oaks Way, Parker, CO 80134",39.445861,39.445861
