Type,Address,Price,Street Address,City,State,Zip Code,Sq. Feet,Href
Townhouse for sale,"12234 Foxtail Pine Ct Building 8, Parker, CO 80134","$434,900 ",12234 Foxtail Pine Ct Building 8,Parker,CO,80134,"2,275",https://www.zillow.com/homedetails/12234-Foxtail-Pine-Ct-BUILDING-8-Parker-CO-80134/2078350281_zpid/
House for sale,"5798 Hidden Oaks Way, Parker, CO 80134","$1,625,000 ",5798 Hidden Oaks Way ,Parker,CO,80134,"6,097",https://www.zillow.com/homedetails/5798-Hidden-Oaks-Way-Parker-CO-80134/102958141_zpid/
Condo for sale,"9301 Las Ramblas Ct Unit E, Parker, CO 80134","$339,000 ",9301 Las Ramblas Ct Unit E,Parker,CO,80134,"1,447",https://www.zillow.com/homedetails/9301-Las-Ramblas-Ct-UNIT-E-Parker-CO-80134/2078351139_zpid/
New construction,"9283 Twenty Mile Rd # Jbf40g, Parker, CO 80134","$319,990 ",9283 Twenty Mile Rd # JBF40G,Parker,CO,80134,"1,147",https://www.zillow.com/community/trails-at-westcreek/2079533999_zpid/
New construction,"13042 Bridge View Ln # Ajd4va, Parker, CO 80134","$550,950 ",13042 Bridge View Ln # AJD4VA,Parker,CO,80134,"2,370",https://www.zillow.com/community/reata-ridge/2078676690_zpid/
New construction,"6177 Saddle Bow Ave # 6uaztt, Parker, CO 80134","$404,495 ",6177 Saddle Bow Ave # 6UAZTT,Parker,CO,80134,"1,590",https://www.zillow.com/community/stone-creek-ranch/2079733370_zpid/
House for sale,"15907 Golden Eye Ct, Parker, CO 80134","$450,000 ",15907 Golden Eye Ct ,Parker,CO,80134,"2,370",https://www.zillow.com/homedetails/15907-Golden-Eye-Ct-Parker-CO-80134/52459236_zpid/
House for sale,"10621 Clarke Farms Dr, Parker, CO 80134","$529,900 ",10621 Clarke Farms Dr ,Parker,CO,80134,"3,626",https://www.zillow.com/homedetails/10621-Clarke-Farms-Dr-Parker-CO-80134/13468021_zpid/
New construction,"14925 Pepper Pike Dr # Pvnvd7, Parker, CO 80134","$593,950 ",14925 Pepper Pike Dr # PVNVD7,Parker,CO,80134,"3,040",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676548_zpid/
New construction,"12841 Red Rosa Cir # K2rr8r, Parker, CO 80134","$558,990 ",12841 Red Rosa Cir # K2RR8R,Parker,CO,80134,"2,868",https://www.zillow.com/community/anthology/2080665082_zpid/
House for sale,"10873 Willow Reed Cir E, Parker, CO 80134","$580,000 ",10873 Willow Reed Cir E ,Parker,CO,80134,"4,361",https://www.zillow.com/homedetails/10873-Willow-Reed-Cir-E-Parker-CO-80134/13469787_zpid/
New construction,"4645 Wildgrass Pl # Fausbn, Parker, CO 80134","$1,087,950 ",4645 Wildgrass Pl # FAUSBN,Parker,CO,80134,"3,564",https://www.zillow.com/community/pradera/2081380500_zpid/
New construction,"5635 Saddle Skirt St # 9uxifu, Parker, CO 80134","$516,950 ",5635 Saddle Skirt St # 9UXIFU,Parker,CO,80134,"2,320",https://www.zillow.com/community/stone-creek-ranch/2078676573_zpid/
New construction,"5600 Heritage Oak Dr # Jtxhcw, Parker, CO 80134","$765,950 ",5600 Heritage Oak Dr # JTXHCW,Parker,CO,80134,"2,990",https://www.zillow.com/community/timbers-at-pinery/2078676591_zpid/
New construction,"5775 Pinto Valley St # Ruw4hl, Parker, CO 80134","$498,990 ",5775 Pinto Valley St # RUW4HL,Parker,CO,80134,"2,757",https://www.zillow.com/community/stone-creek-ranch/2082165369_zpid/
New construction,"6177 Saddle Bow Ave # Ed9tnp, Parker, CO 80134","$425,495 ",6177 Saddle Bow Ave # ED9TNP,Parker,CO,80134,"2,194",https://www.zillow.com/community/stone-creek-ranch/2079733371_zpid/
House for sale,"14956 Vienna Cir, Parker, CO 80134","$619,999 ",14956 Vienna Cir ,Parker,CO,80134,"4,238",https://www.zillow.com/homedetails/14956-Vienna-Cir-Parker-CO-80134/242033822_zpid/
House for sale,"10301 Nottingham Dr, Parker, CO 80134","$550,000 ",10301 Nottingham Dr ,Parker,CO,80134,"4,534",https://www.zillow.com/homedetails/10301-Nottingham-Dr-Parker-CO-80134/67450554_zpid/
New construction,"17485 Booth Falls Way # Lfor02, Parker, CO 80134","$436,990 ",17485 Booth Falls Way # LFOR02,Parker,CO,80134,"2,014",https://www.zillow.com/community/senderos-creek-town-collection/2082278695_zpid/
New construction,"5635 Saddle Skirt St # 639kch, Parker, CO 80134","$495,950 ",5635 Saddle Skirt St # 639KCH,Parker,CO,80134,"2,520",https://www.zillow.com/community/stone-creek-ranch/2078676572_zpid/
New construction,"13042 Bridge View Ln # 839so2, Parker, CO 80134","$538,950 ",13042 Bridge View Ln # 839SO2,Parker,CO,80134,"2,380",https://www.zillow.com/community/reata-ridge/2078676688_zpid/
New construction,"8899 Birch Run Dr # Wfrd0k, Parker, CO 80134","$412,990 ",8899 Birch Run Dr # WFRD0K,Parker,CO,80134,"1,481",https://www.zillow.com/community/alder-village/2082920295_zpid/
New construction,"12841 Red Rosa Cir # Ha8ui7, Parker, CO 80134","$418,990 ",12841 Red Rosa Cir # HA8UI7,Parker,CO,80134,"1,865",https://www.zillow.com/community/anthology/2080665095_zpid/
House for sale,"5107 Red Oak Way, Parker, CO 80134","$600,000 ",5107 Red Oak Way ,Parker,CO,80134,"5,036",https://www.zillow.com/homedetails/5107-Red-Oak-Way-Parker-CO-80134/13480629_zpid/
New construction,"14925 Pepper Pike Dr # Fvgmg7, Parker, CO 80134","$551,950 ",14925 Pepper Pike Dr # FVGMG7,Parker,CO,80134,"1,880",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676550_zpid/
New construction,"9283 Twenty Mile Rd # Jbywlu, Parker, CO 80134","$329,990 ",9283 Twenty Mile Rd # JBYWLU,Parker,CO,80134,"1,203",https://www.zillow.com/community/trails-at-westcreek/2079533998_zpid/
New construction,"4645 Wildgrass Pl # P6abgc, Parker, CO 80134","$689,950 ",4645 Wildgrass Pl # P6ABGC,Parker,CO,80134,"2,811",https://www.zillow.com/community/pradera/2081380498_zpid/
House for sale,"18040 Bolero Dr, Parker, CO 80134","$510,000 ",18040 Bolero Dr ,Parker,CO,80134,"3,276",https://www.zillow.com/homedetails/18040-Bolero-Dr-Parker-CO-80134/67450845_zpid/
New construction,"17862 Marsh Wren Ave # 5r1fqp, Parker, CO 80134","$501,990 ",17862 Marsh Wren Ave # 5R1FQP,Parker,CO,80134,"2,820",https://www.zillow.com/community/meadowlark/2078394156_zpid/
New construction,"17862 Marsh Wren Ave # K2w3s8, Parker, CO 80134","$491,990 ",17862 Marsh Wren Ave # K2W3S8,Parker,CO,80134,"2,666",https://www.zillow.com/community/meadowlark/2078394155_zpid/
New construction,"17473 Springfield Dr, Parker, CO 80134","$589,990 ",17473 Springfield Dr ,Parker,CO,80134,"2,835",https://www.zillow.com/homedetails/17473-Springfield-Dr-Parker-CO-80134/249985902_zpid/
New construction,"17450 Springfield Ln, Parker, CO 80134","$547,960 ",17450 Springfield Ln ,Parker,CO,80134,"1,713",https://www.zillow.com/homedetails/17450-Springfield-Ln-Parker-CO-80134/249984171_zpid/
New construction,"17489 Springfield Dr, Parker, CO 80134","$584,990 ",17489 Springfield Dr ,Parker,CO,80134,"2,683",https://www.zillow.com/homedetails/17489-Springfield-Dr-Parker-CO-80134/249983532_zpid/
New construction,"6177 Saddle Bow Ave # 2mnjk1, Parker, CO 80134","$431,495 ",6177 Saddle Bow Ave # 2MNJK1,Parker,CO,80134,"2,653",https://www.zillow.com/community/stone-creek-ranch/2079733369_zpid/
New construction,"5775 Pinto Valley St # Nx3m8r, Parker, CO 80134","$462,990 ",5775 Pinto Valley St # NX3M8R,Parker,CO,80134,"1,990",https://www.zillow.com/community/stone-creek-ranch/2082165370_zpid/
New construction,"13042 Bridge View Ln # N4kijl, Parker, CO 80134","$626,950 ",13042 Bridge View Ln # N4KIJL,Parker,CO,80134,"3,950",https://www.zillow.com/community/reata-ridge/2078676692_zpid/
New construction,"12260 Red Monterey Ct # W6mmpt, Parker, CO 80134","$394,900 ",12260 Red Monterey Ct # W6MMPT,Parker,CO,80134,"1,519",https://www.zillow.com/community/luxury-townhomes-at-pine-bluffs/2085707257_zpid/
New construction,"17485 Booth Falls Way # K08zhv, Parker, CO 80134","$426,990 ",17485 Booth Falls Way # K08ZHV,Parker,CO,80134,"1,920",https://www.zillow.com/community/senderos-creek-town-collection/2082278694_zpid/
New construction,"5635 Saddle Skirt St # Cmtb8a, Parker, CO 80134","$557,950 ",5635 Saddle Skirt St # CMTB8A,Parker,CO,80134,"3,210",https://www.zillow.com/community/stone-creek-ranch/2078676570_zpid/
New construction,"14925 Pepper Pike Dr # 2iur8m, Parker, CO 80134","$568,950 ",14925 Pepper Pike Dr # 2IUR8M,Parker,CO,80134,"2,680",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676551_zpid/
New construction,"5600 Heritage Oak Dr # 3m3i6o, Parker, CO 80134","$751,950 ",5600 Heritage Oak Dr # 3M3I6O,Parker,CO,80134,"2,980",https://www.zillow.com/community/timbers-at-pinery/2078676588_zpid/
House for sale,"12243 Coral Burst Ln, Parker, CO 80134","$609,000 ",12243 Coral Burst Ln ,Parker,CO,80134,"3,460",https://www.zillow.com/homedetails/12243-Coral-Burst-Ln-Parker-CO-80134/121866072_zpid/
New construction,"17525 E Iron Ore Ave # O31ohg, Parker, CO 80134","$475,990 ",17525 E Iron Ore Ave # O31OHG,Parker,CO,80134,"1,713",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300377_zpid/
New construction,"8899 Birch Run Dr # K5vgum, Parker, CO 80134","$444,990 ",8899 Birch Run Dr # K5VGUM,Parker,CO,80134,"2,199",https://www.zillow.com/community/alder-village/2082920297_zpid/
New construction,"4645 Wildgrass Pl # Ylqb4x, Parker, CO 80134","$1,091,950 ",4645 Wildgrass Pl # YLQB4X,Parker,CO,80134,"3,757",https://www.zillow.com/community/pradera/2081380501_zpid/
New construction,"5703 Sunridge Dr # M8when, Parker, CO 80134","$804,900 ",5703 Sunridge Dr # M8WHEN,Parker,CO,80134,"3,111",https://www.zillow.com/community/timbers-at-pinery-by-berkeley-homes/2087743569_zpid/
New construction,"5635 Saddle Skirt St # 98kni, Parker, CO 80134","$496,950 ",5635 Saddle Skirt St # 98KNI,Parker,CO,80134,"2,680",https://www.zillow.com/community/stone-creek-ranch/2078676575_zpid/
New construction,"9989 Isle Cir # Sis8ak, Parker, CO 80134","$573,900 ",9989 Isle Cir # SIS8AK,Parker,CO,80134,"2,574",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962946_zpid/
New construction,"9283 Twenty Mile Rd # Jsgqep, Parker, CO 80134","$349,990 ",9283 Twenty Mile Rd # JSGQEP,Parker,CO,80134,"1,318",https://www.zillow.com/community/trails-at-westcreek/2079534000_zpid/
New construction,"17525 E Iron Ore Ave # 4az35n, Parker, CO 80134","$539,990 ",17525 E Iron Ore Ave # 4AZ35N,Parker,CO,80134,"2,835",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300382_zpid/
New construction,"8899 Birch Run Dr # 5e2nay, Parker, CO 80134","$417,990 ",8899 Birch Run Dr # 5E2NAY,Parker,CO,80134,"1,534",https://www.zillow.com/community/alder-village/2082920294_zpid/
New construction,"12841 Red Rosa Cir # 8z83ez, Parker, CO 80134","$455,990 ",12841 Red Rosa Cir # 8Z83EZ,Parker,CO,80134,"2,409",https://www.zillow.com/community/anthology/2080665089_zpid/
New construction,"9989 Isle Cir # X3e6ce, Parker, CO 80134","$548,900 ",9989 Isle Cir # X3E6CE,Parker,CO,80134,"1,974",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962952_zpid/
New construction,"12260 Red Monterey Ct # 4crm6z, Parker, CO 80134","$414,900 ",12260 Red Monterey Ct # 4CRM6Z,Parker,CO,80134,"2,275",https://www.zillow.com/community/luxury-townhomes-at-pine-bluffs/2085881959_zpid/
New construction,"4645 Wildgrass Pl # Tbpva5, Parker, CO 80134","$1,167,950 ",4645 Wildgrass Pl # TBPVA5,Parker,CO,80134,"4,182",https://www.zillow.com/community/pradera/2081380496_zpid/
New construction,"5635 Saddle Skirt St # Z9cv5u, Parker, CO 80134","$576,950 ",5635 Saddle Skirt St # Z9CV5U,Parker,CO,80134,"3,470",https://www.zillow.com/community/stone-creek-ranch/2078676578_zpid/
New construction,"17525 E Iron Ore Ave # U3uvrz, Parker, CO 80134","$485,990 ",17525 E Iron Ore Ave # U3UVRZ,Parker,CO,80134,"1,819",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300381_zpid/
House for sale,"4999 Caballo Pl, Parker, CO 80134","$1,290,000 ",4999 Caballo Pl ,Parker,CO,80134,"6,630",https://www.zillow.com/homedetails/4999-Caballo-Pl-Parker-CO-80134/108382060_zpid/
New construction,"12841 Red Rosa Cir # D4c0x2, Parker, CO 80134","$485,990 ",12841 Red Rosa Cir # D4C0X2,Parker,CO,80134,"2,446",https://www.zillow.com/community/anthology/2080665076_zpid/
New construction,"4645 Wildgrass Pl # Vo3b37, Parker, CO 80134","$989,950 ",4645 Wildgrass Pl # VO3B37,Parker,CO,80134,"2,756",https://www.zillow.com/community/pradera/2081380502_zpid/
New construction,"6177 Saddle Bow Ave # Hoo3qg, Parker, CO 80134","$444,495 ",6177 Saddle Bow Ave # HOO3QG,Parker,CO,80134,"2,396",https://www.zillow.com/community/stone-creek-ranch/2079733373_zpid/
New construction,"5775 Pinto Valley St # Jfrl7h, Parker, CO 80134","$452,990 ",5775 Pinto Valley St # JFRL7H,Parker,CO,80134,"1,896",https://www.zillow.com/community/stone-creek-ranch/2082165374_zpid/
New construction,"12841 Red Rosa Cir # Ec83sy, Parker, CO 80134","$468,990 ",12841 Red Rosa Cir # EC83SY,Parker,CO,80134,"2,676",https://www.zillow.com/community/anthology/2080665090_zpid/
New construction,"17485 Booth Falls Way # In4hqe, Parker, CO 80134","$401,990 ",17485 Booth Falls Way # IN4HQE,Parker,CO,80134,"1,620",https://www.zillow.com/community/senderos-creek-town-collection/2082278692_zpid/
House for sale,"16523 High Desert Pl, Parker, CO 80134","$549,000 ",16523 High Desert Pl ,Parker,CO,80134,"3,460",https://www.zillow.com/homedetails/16523-High-Desert-Pl-Parker-CO-80134/67450672_zpid/
New construction,"6177 Saddle Bow Ave # Gnbcxt, Parker, CO 80134","$427,495 ",6177 Saddle Bow Ave # GNBCXT,Parker,CO,80134,"1,942",https://www.zillow.com/community/stone-creek-ranch/2079368156_zpid/
New construction,"5703 Sunridge Dr # Mhfuvv, Parker, CO 80134","$809,900 ",5703 Sunridge Dr # MHFUVV,Parker,CO,80134,"3,473",https://www.zillow.com/community/timbers-at-pinery-by-berkeley-homes/2087743568_zpid/
House for sale,"14684 Mission Walk Loop, Parker, CO 80134","$820,000 ",14684 Mission Walk Loop ,Parker,CO,80134,"4,424",https://www.zillow.com/homedetails/14684-Mission-Walk-Loop-Parker-CO-80134/124172810_zpid/
New construction,"14925 Pepper Pike Dr # Ee8d70, Parker, CO 80134","$563,950 ",14925 Pepper Pike Dr # EE8D70,Parker,CO,80134,"2,490",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676547_zpid/
New construction,"9989 Isle Cir # Rwg6qm, Parker, CO 80134","$588,900 ",9989 Isle Cir # RWG6QM,Parker,CO,80134,"2,763",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962949_zpid/
Condo for sale,"10823 Twenty Mile Rd # 104, Parker, CO 80134","$299,900 ",10823 Twenty Mile Rd # 104,Parker,CO,80134,"1,245",https://www.zillow.com/homedetails/10823-Twenty-Mile-Rd-104-Parker-CO-80134/63390091_zpid/
New construction,"12841 Red Rosa Cir # Rz965m, Parker, CO 80134","$422,990 ",12841 Red Rosa Cir # RZ965M,Parker,CO,80134,"1,756",https://www.zillow.com/community/anthology/2080665073_zpid/
House for sale,"10578 Stonemeadow Dr, Parker, CO 80134","$569,000 ",10578 Stonemeadow Dr ,Parker,CO,80134,"3,717",https://www.zillow.com/homedetails/10578-Stonemeadow-Dr-Parker-CO-80134/13469003_zpid/
New construction,"13042 Bridge View Ln # Jyfb8a, Parker, CO 80134","$588,950 ",13042 Bridge View Ln # JYFB8A,Parker,CO,80134,"3,210",https://www.zillow.com/community/reata-ridge/2078676687_zpid/
House for sale,"16364 E Blackthorn Way, Parker, CO 80134","$495,000 ",16364 E Blackthorn Way ,Parker,CO,80134,"4,187",https://www.zillow.com/homedetails/16364-E-Blackthorn-Way-Parker-CO-80134/55813380_zpid/
House for sale,"17835 E Cloudberry Dr, Parker, CO 80134","$740,000 ",17835 E Cloudberry Dr ,Parker,CO,80134,"5,643",https://www.zillow.com/homedetails/17835-E-Cloudberry-Dr-Parker-CO-80134/13466203_zpid/
House for sale,"10812 Milliken St, Parker, CO 80134","$599,900 ",10812 Milliken St ,Parker,CO,80134,"2,973",https://www.zillow.com/homedetails/10812-Milliken-St-Parker-CO-80134/2091299333_zpid/
Condo for sale,"17127 Lark Water Ln Unit A, Parker, CO 80134","$359,900 ",17127 Lark Water Ln Unit A,Parker,CO,80134,"1,556",https://www.zillow.com/homedetails/17127-Lark-Water-Ln-UNIT-A-Parker-CO-80134/82029765_zpid/
House for sale,"16246 E Swift Fox Pl, Parker, CO 80134","$589,000 ",16246 E Swift Fox Pl ,Parker,CO,80134,"4,124",https://www.zillow.com/homedetails/16246-E-Swift-Fox-Pl-Parker-CO-80134/82021747_zpid/
Townhouse for sale,"8898 Brompton Way, Parker, CO 80134","$269,900 ",8898 Brompton Way ,Parker,CO,80134,959,https://www.zillow.com/homedetails/8898-Brompton-Way-Parker-CO-80134/13464259_zpid/
Townhouse for sale,"6558 Pinewood Dr, Parker, CO 80134","$394,900 ",6558 Pinewood Dr ,Parker,CO,80134,"1,992",https://www.zillow.com/homedetails/6558-Pinewood-Dr-Parker-CO-80134/13479116_zpid/
New construction,"9989 Isle Cir # Ttsc5w, Parker, CO 80134","$588,900 ",9989 Isle Cir # TTSC5W,Parker,CO,80134,"2,611",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962950_zpid/
New construction,"17485 Booth Falls Way # Xy6sm0, Parker, CO 80134","$411,990 ",17485 Booth Falls Way # XY6SM0,Parker,CO,80134,"1,773",https://www.zillow.com/community/senderos-creek-town-collection/2082278693_zpid/
New construction,"6177 Saddle Bow Ave # Axn32l, Parker, CO 80134","$418,495 ",6177 Saddle Bow Ave # AXN32L,Parker,CO,80134,"1,860",https://www.zillow.com/community/stone-creek-ranch/2079733368_zpid/
New construction,"17525 E Iron Ore Ave # Ed90wc, Parker, CO 80134","$509,990 ",17525 E Iron Ore Ave # ED90WC,Parker,CO,80134,"2,422",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300380_zpid/
House for sale,"18164 Shadbury Ln, Parker, CO 80134","$530,000 ",18164 Shadbury Ln ,Parker,CO,80134,"3,644",https://www.zillow.com/homedetails/18164-Shadbury-Ln-Parker-CO-80134/97302848_zpid/
New construction,"12841 Red Rosa Cir # Wf9ct, Parker, CO 80134","$603,990 ",12841 Red Rosa Cir # WF9CT,Parker,CO,80134,"3,423",https://www.zillow.com/community/anthology/2080665080_zpid/
New construction,"12260 Red Monterey Ct # 6ebh5w, Parker, CO 80134","$404,900 ",12260 Red Monterey Ct # 6EBH5W,Parker,CO,80134,"2,009",https://www.zillow.com/community/luxury-townhomes-at-pine-bluffs/2085707258_zpid/
New construction,"5775 Pinto Valley St # Crosty, Parker, CO 80134","$447,990 ",5775 Pinto Valley St # CROSTY,Parker,CO,80134,"1,920",https://www.zillow.com/community/stone-creek-ranch/2082165371_zpid/
New construction,"6177 Saddle Bow Ave # Ir2t9d, Parker, CO 80134","$413,495 ",6177 Saddle Bow Ave # IR2T9D,Parker,CO,80134,"1,719",https://www.zillow.com/community/stone-creek-ranch/2079733372_zpid/
New construction,"17525 E Iron Ore Ave # Jv099c, Parker, CO 80134","$529,990 ",17525 E Iron Ore Ave # JV099C,Parker,CO,80134,"2,683",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300379_zpid/
