Street Address,Lat,Lng
41653 Thunder Hill Rd,39.47462100000001,-104.6225498
16264 White Hawk Dr,39.5166722,-104.8007541
17027 Numa Pl,39.5208315,-104.7906334
12820 Randles Ave,39.4832964,-104.7857095
8801 Eagle Moon Way,39.466405,-104.722487
5771 Distant View Pl,39.4433427,-104.7783936
16460 Martingale Dr,39.5214242,-104.7985658
5211 Moonlight Way,39.4371218,-104.7834763
5581 Twilight Way,39.443485,-104.7866217
11796 Edenfeld St,39.5022552,-104.7778509
5766 Distant View Pl,39.442753,-104.7786671
20181 E Shady Ridge Rd,39.4973742,-104.7541449
5596 Raintree Dr,39.441195,-104.7968106
4740 Sonado Pl,39.444287,-104.798612
10875 Mcharg Ct,39.5180481,-104.816751
10315 Nottingham Dr,39.5282965,-104.849133
17209 Wilde Ave UNIT 205,39.5510425,-104.7895617
7500 E Sunset Trl,39.4858526,-104.7459413
12615 S Robinson Ranch Dr,39.4873805,-104.7532561
14852 Pepper Pike Pl,39.5185877,-104.8151598
14018 Touchstone St,39.5189424,-104.8260296
12193 Skywalk St,39.495495,-104.783955
8400 Witez Ct,39.47370900000001,-104.7302645
17545 Celestine Ct,39.5324711,-104.7859379
5409 Forest View Rd,39.4407883,-104.7172321
11204 Haxtun Ct,39.5164634,-104.7858924
16937 Molina Pl,39.524696,-104.7894937
6586 Windmont Ave,39.4580848,-104.7383078
17041 Hastings Ave,39.5182939,-104.7888555
5885 Bridle Path Ln,39.4347179,-104.7771173
17605 Ponderosa Ave,39.5605798,-104.7858924
19252 E Hollow Creek Dr,39.4897274,-104.7647874
8651 Witez Ct,39.476144,-104.724203
17279 E Twinberry St,39.5401952,-104.7891746
8662 Bluegrass Cir,39.5605532,-104.8001159
7894 Forest Keep Cir,39.483656,-104.733285
5893 Saddle Creek Trl,39.4475297,-104.7532106
15538 Greenstone Cir,39.5388169,-104.8095533
4947 Raintree Dr,39.4369851,-104.7950782
13008 S Stuart Way,39.4799264,-104.7668385
7309 Prairie Star Ct,39.4692752,-104.7267363
5124 Starry Sky Way,39.4364378,-104.7938017
9039 Rambling Oak Pl,39.4416059,-104.7178017
12234 Foxtail Pine Ct,39.494159,-104.754733
8575 Witez Ct,39.4755015,-104.7268012
10687 Evans Ridge Rd,39.440762,-104.689939
7895 Forest Keep Cir,39.4836479,-104.7348215
10006 Brisbane Ln,39.5350392,-104.9355316
9334 Princeton St,39.5463885,-104.9137222
5358 Applebrook Ln,39.5243755,-104.9259725
10269 Rotherwood Cir,39.5289352,-104.9341627
Aspenmeadow Cir,39.5150567,-104.9402016
9415 Princeton Cir,39.5450198,-104.9133116
5039 Ashbrook Cir,39.5310434,-104.9283223
15 Birmingham Ct,38.9954567,-75.5000763
"Coming Soon Plan, Canyon Village",35.884084,-106.311826
