House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
New construction,"Estes Plan, Stone Creek Ranch, Parker, CO 80134","$454,990 ","Estes Plan, Stone Creek Ranch",Parker,CO,80134,"1,896",https://www.zillow.com/community/stone-creek-ranch/2082165374_zpid/
New construction,"Stonehaven Plan, Sierra Ridge : The Monarch Collection, Parker, CO 80134","$588,900 ","Stonehaven Plan, Sierra Ridge : The Monarch Collection",Parker,CO,80134,"2,763",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962949_zpid/
New construction,"Dayton Plan, Reata Ridge, Parker, CO 80134","$631,950 ","Dayton Plan, Reata Ridge",Parker,CO,80134,"3,950",https://www.zillow.com/community/reata-ridge/2078676692_zpid/
New construction,"Bedford Plan, Stone Creek Ranch, Parker, CO 80134","$485,950 ","Bedford Plan, Stone Creek Ranch",Parker,CO,80134,"2,300",https://www.zillow.com/community/stone-creek-ranch/2078676577_zpid/
New construction,"The Perry Park Plan, Senderos Creek: The Town Collection, Parker, CO 80134","$428,990 ","The Perry Park Plan, Senderos Creek: The Town Collection",Parker,CO,80134,"1,920",https://www.zillow.com/community/senderos-creek-town-collection/2082278694_zpid/
New construction,"Conifer Plan, Luxury Townhomes At Pine Bluffs, Parker, CO 80134","$414,900 ","Conifer Plan, Luxury Townhomes at Pine Bluffs",Parker,CO,80134,"2,275",https://www.zillow.com/community/luxury-townhomes-at-pine-bluffs/2085881959_zpid/
New construction,"12852 Randles Ave, Parker, CO 80134","$523,685 ",12852 Randles Ave,Parker,CO,80134,"2,409",https://www.zillow.com/homedetails/12852-Randles-Ave-Parker-CO-80134/249984649_zpid/
New construction,"Aspen (Residence 39209) Plan, Anthology, Parker, CO 80134","$514,990 ","Aspen (Residence 39209) Plan, Anthology",Parker,CO,80134,"2,798",https://www.zillow.com/community/anthology/2080665078_zpid/
New construction,"Genesee Plan, Alder Village, Parker, CO 80134","$444,990 ","Genesee Plan, Alder Village",Parker,CO,80134,"2,199",https://www.zillow.com/community/alder-village/2082920297_zpid/
New construction,"The Clear Creek Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134","$548,990 ","The Clear Creek Plan, Senderos Creek: The Canyon Collection",Parker,CO,80134,"2,835",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300382_zpid/
House for sale,"8460 Wheatgrass Cir, Parker, CO 80134","$375,000 ",8460 Wheatgrass Cir,Parker,CO,80134,"1,576",https://www.zillow.com/homedetails/8460-Wheatgrass-Cir-Parker-CO-80134/13464352_zpid/
New construction,"Residence One Plan, The Timbers At The Pinery By Berkeley Homes, Parker, CO 80134","$809,900 ","Residence One Plan, The Timbers at the Pinery by Berkeley Homes",Parker,CO,80134,"3,473",https://www.zillow.com/community/timbers-at-pinery-by-berkeley-homes/2087743568_zpid/
New construction,"Graham Plan, Sierra Ridge : The Monarch Collection, Parker, CO 80134","$548,900 ","Graham Plan, Sierra Ridge : The Monarch Collection",Parker,CO,80134,"1,974",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962952_zpid/
New construction,"Plan 1685 Plan, Stone Creek Ranch, Parker, CO 80134","$434,495 ","Plan 1685 Plan, Stone Creek Ranch",Parker,CO,80134,"2,653",https://www.zillow.com/community/stone-creek-ranch/2079733369_zpid/
New construction,"Centennial Plan, Stone Creek Ranch, Parker, CO 80134","$464,990 ","Centennial Plan, Stone Creek Ranch",Parker,CO,80134,"1,990",https://www.zillow.com/community/stone-creek-ranch/2082165370_zpid/
New construction,"The Eldorado Plan, Senderos Creek: The Canyon Collection, Parker, CO 80134","$484,990 ","The Eldorado Plan, Senderos Creek: The Canyon Collection",Parker,CO,80134,"1,713",https://www.zillow.com/community/senderos-creek-canyon-collection/2086300377_zpid/
New construction,"The Palisade Plan, Senderos Creek: The Town Collection, Parker, CO 80134","$413,990 ","The Palisade Plan, Senderos Creek: The Town Collection",Parker,CO,80134,"1,773",https://www.zillow.com/community/senderos-creek-town-collection/2082278693_zpid/
New construction,"Telluride (Residence 39103) Plan, Anthology, Parker, CO 80134","$464,990 ","Telluride (Residence 39103) Plan, Anthology",Parker,CO,80134,"1,936",https://www.zillow.com/community/anthology/2080665088_zpid/
New construction,"Morrison Plan, Alder Village, Parker, CO 80134","$412,990 ","Morrison Plan, Alder Village",Parker,CO,80134,"1,481",https://www.zillow.com/community/alder-village/2082920295_zpid/
New construction,"Delaney Plan, Reata Ridge, Parker, CO 80134","$555,950 ","Delaney Plan, Reata Ridge",Parker,CO,80134,"2,370",https://www.zillow.com/community/reata-ridge/2078676690_zpid/
New construction,"Andrea Plan, Ridgeline At Meridian Village, Parker, CO 80134","$585,950 ","Andrea Plan, Ridgeline at Meridian Village",Parker,CO,80134,"2,880",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676546_zpid/
House for sale,"5811 Regal Oak Ln, Parker, CO 80134","$2,999,000 ",5811 Regal Oak Ln,Parker,CO,80134,"9,254",https://www.zillow.com/homedetails/5811-Regal-Oak-Ln-Parker-CO-80134/121864556_zpid/
New construction,"Hopewell Plan, Stone Creek Ranch, Parker, CO 80134","$505,950 ","Hopewell Plan, Stone Creek Ranch",Parker,CO,80134,"2,680",https://www.zillow.com/community/stone-creek-ranch/2078676575_zpid/
